row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,util_category,util_cnt,encounter_count,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
198470,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,716,Hospital Inpatient,"16,716","1,171","7,599","$12,576,417.15 ","$10,739.90 ","$6,167.05 ","$12,519,619.95 ","$10,691.39 ","$6,127.78 ","$56,797.20 ",$48.50 ,$0.00 
199334,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,M,81,Hospital Outpatient,"2,846",780,896,"$46,776.81 ",$59.97 ,$23.35 ,"$46,770.81 ",$59.96 ,$23.35 ,$6.00 ,$0.01 ,$0.00 
200414,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,23,Independent Lab,105,65,276,$904.98 ,$13.92 ,$0.00 ,$904.98 ,$13.92 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
201134,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,321,Emergency department,"2,730",819,"3,691","$240,809.61 ",$294.03 ,$209.69 ,"$238,350.29 ",$291.03 ,$204.80 ,"$2,459.32 ",$3.00 ,$0.00 
201854,2019,21,Cass,COMMERCIAL,4,65 - 74 years,M,75,Clinic/Office,"1,148",546,891,"$67,406.46 ",$123.46 ,$75.44 ,"$53,118.94 ",$97.29 ,$37.35 ,"$14,287.52 ",$26.17 ,$0.00 
202766,2019,25,Chisago,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,28,Inpatient Non-acute Professional Services,285,228,283,"$6,103.23 ",$26.77 ,$0.00 ,"$6,100.03 ",$26.75 ,$0.00 ,$3.20 ,$0.01 ,$0.00 
203726,2019,31,Cook,COMMERCIAL,4,65 - 74 years,M,11,Hospital Outpatient,156,41,132,"$15,124.70 ",$368.90 ,$98.74 ,"$12,323.19 ",$300.57 ,$17.92 ,"$2,801.51 ",$68.33 ,$0.00 
204638,2019,35,Crow Wing,MEDICARE,3,45 - 64 years,M,44,Inpatient Non-acute Professional Services,383,234,504,"$29,161.18 ",$124.62 ,$77.00 ,"$22,860.19 ",$97.69 ,$60.52 ,"$6,300.99 ",$26.93 ,$15.44 
205286,2019,39,Dodge,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,25,DME (Durable Medical Equipment),163,98,280,"$7,622.06 ",$77.78 ,$85.13 ,"$7,622.06 ",$77.78 ,$85.13 ,$0.00 ,$0.00 ,$0.00 
206030,2019,43,Faribault,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,54,Ambulance,797,473,615,"$88,336.71 ",$186.76 ,$14.08 ,"$88,333.51 ",$186.75 ,$14.08 ,$3.20 ,$0.01 ,$0.00 
207254,2019,49,Goodhue,MEDICARE,3,45 - 64 years,M,98,Hospital Inpatient,"3,916",236,"1,117","$3,742,625.27 ","$15,858.58 ","$12,593.71 ","$3,492,547.67 ","$14,798.93 ","$11,036.31 ","$250,077.60 ","$1,059.65 ","$1,364.00 "
208022,2019,53,Hennepin,MEDICARE,3,45 - 64 years,F,115,Hospice,"7,556",814,904,"$1,378,098.59 ","$1,693.00 ",$0.00 ,"$1,378,098.59 ","$1,693.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
208814,2019,57,Hubbard,MEDICARE,5,75 years and older,M,44,Hospice,"1,913",139,363,"$388,989.12 ","$2,798.48 ","$3,286.19 ","$388,989.12 ","$2,798.48 ","$3,286.19 ",$0.00 ,$0.00 ,$0.00 
209510,2019,61,Itasca,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,M,14,Hospital Inpatient Professional Services,401,182,138,"$1,089.39 ",$5.99 ,$0.00 ,"$1,089.39 ",$5.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
210494,2019,67,Kandiyohi,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,134,DME (Durable Medical Equipment),825,491,"1,561","$73,958.88 ",$150.63 ,$41.54 ,"$73,917.90 ",$150.55 ,$41.54 ,$40.98 ,$0.08 ,$0.00 
211406,2019,73,Lac Qui Parle,COMMERCIAL,3,45 - 64 years,M,194,Clinic/Office,"2,030","1,116","2,261","$201,580.05 ",$180.63 ,$125.46 ,"$107,491.74 ",$96.32 ,$32.29 ,"$94,088.31 ",$84.31 ,$35.02 
212630,2019,79,Le Sueur,MEDICARE,4,65 - 74 years,M,128,DME (Durable Medical Equipment),"1,076",676,"1,492","$77,119.28 ",$114.08 ,$54.24 ,"$65,075.44 ",$96.27 ,$47.02 ,"$12,043.84 ",$17.82 ,$9.11 
213710,2019,85,McLeod,MEDICARE,5,75 years and older,F,100,Hospice,"7,651",343,842,"$1,248,393.25 ","$3,639.63 ","$4,222.82 ","$1,248,393.25 ","$3,639.63 ","$4,222.82 ",$0.00 ,$0.00 ,$0.00 
214670,2019,91,Martin,MEDICARE,5,75 years and older,F,521,Emergency department,"4,649","1,269","6,004","$403,374.47 ",$317.87 ,$187.36 ,"$348,827.52 ",$274.88 ,$147.58 ,"$54,546.95 ",$42.98 ,$32.73 
215510,2019,97,Morrison,COMMERCIAL,2,19 - 44 years,M,28,Hospital Inpatient Professional Services,394,111,318,"$151,579.43 ","$1,365.58 ",$526.57 ,"$142,566.14 ","$1,284.38 ",$445.71 ,"$9,013.29 ",$81.20 ,$0.00 
216254,2019,101,Murray,COMMERCIAL,2,19 - 44 years,F,72,Independent Lab,391,117,800,"$24,429.77 ",$208.80 ,$124.54 ,"$18,902.05 ",$161.56 ,$80.30 ,"$5,527.72 ",$47.25 ,$0.00 
217334,2019,107,Norman,COMMERCIAL,3,45 - 64 years,M,18,Emergency department,108,35,213,"$24,974.94 ",$713.57 ,$611.53 ,"$19,054.92 ",$544.43 ,$396.69 ,"$5,920.02 ",$169.14 ,$0.00 
218222,2019,111,Otter Tail,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,790,Clinic/Office,"10,515","6,530","8,978","$708,050.99 ",$108.43 ,$84.86 ,"$690,721.70 ",$105.78 ,$81.52 ,"$17,329.29 ",$2.65 ,$0.00 
219086,2019,115,Pine,MEDICARE,4,65 - 74 years,F,52,Inpatient Non-acute,"1,124",273,607,"$690,597.23 ","$2,529.66 ",$163.74 ,"$645,438.08 ","$2,364.24 ",$161.44 ,"$45,159.15 ",$165.42 ,$0.00 
220118,2019,121,Pope,MEDICARE,4,65 - 74 years,F,551,Hospital Outpatient,"22,683","4,739","6,553","$2,519,946.11 ",$531.75 ,$171.75 ,"$2,005,337.35 ",$423.16 ,$141.52 ,"$514,608.76 ",$108.59 ,$18.20 
220862,2019,125,Red Lake,MEDICARE,5,75 years and older,F,33,Hospital Inpatient,682,45,377,"$621,622.28 ","$13,813.83 ","$10,180.39 ","$585,696.55 ","$13,015.48 ","$9,583.33 ","$35,925.73 ",$798.35 ,$600.00 
197994,2019,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,30,Ambulance,441,203,324,"$40,281.81 ",$198.43 ,$41.80 ,"$40,281.81 ",$198.43 ,$41.80 ,$0.00 ,$0.00 ,$0.00 
198738,2019,5,Becker,COMMERCIAL,3,45 - 64 years,F,326,Independent Lab,"2,261",704,"3,837","$157,368.87 ",$223.54 ,$87.57 ,"$127,447.82 ",$181.03 ,$45.82 ,"$29,921.05 ",$42.50 ,$0.00 
199386,2019,7,Beltrami,MEDICARE,3,45 - 64 years,M,69,Ambulatory Surgery,170,85,813,"$70,643.76 ",$831.10 ,$139.36 ,"$56,209.43 ",$661.29 ,$122.36 ,"$14,434.33 ",$169.82 ,$25.73 
200226,2019,13,Blue Earth,COMMERCIAL,2,19 - 44 years,M,13,Outpatient Other,177,169,146,"$42,057.20 ",$248.86 ,$230.00 ,"$37,422.29 ",$221.43 ,$201.16 ,"$4,634.91 ",$27.43 ,$7.50 
201138,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,108,Hospital Inpatient Professional Services,"1,941",979,"1,230","$143,404.75 ",$146.48 ,$66.62 ,"$143,388.95 ",$146.46 ,$66.62 ,$15.80 ,$0.02 ,$0.00 
201978,2019,21,Cass,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,42,Outpatient Other,"1,810","1,066",463,"$242,819.60 ",$227.79 ,$107.19 ,"$242,816.60 ",$227.78 ,$107.19 ,$3.00 ,$0.00 ,$0.00 
202866,2019,25,Chisago,MEDICARE,4,65 - 74 years,M,261,Hospital Inpatient,"5,859",394,"2,981","$6,866,405.21 ","$17,427.42 ","$11,828.52 ","$6,546,381.82 ","$16,615.18 ","$11,380.39 ","$320,023.39 ",$812.24 ,$545.00 
203658,2019,29,Clearwater,MEDICARE,5,75 years and older,M,74,Independent Lab,324,136,857,"$16,609.33 ",$122.13 ,$38.68 ,"$15,865.00 ",$116.65 ,$31.42 ,$744.33 ,$5.47 ,$0.00 
204522,2019,35,Crow Wing,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,20,Ambulance,394,175,238,"$6,865.51 ",$39.23 ,$20.24 ,"$6,865.51 ",$39.23 ,$20.24 ,$0.00 ,$0.00 ,$0.00 
205122,2019,37,Dakota,MEDICARE,5,75 years and older,F,"10,775",Hospital Outpatient,"265,174","52,844","126,433","$24,899,520.40 ",$471.19 ,$111.48 ,"$21,511,157.02 ",$407.07 ,$93.22 ,"$3,388,363.38 ",$64.12 ,$0.00 
206178,2019,43,Faribault,MEDICARE,4,65 - 74 years,M,24,Inpatient Non-acute,712,137,276,"$396,984.89 ","$2,897.70 ",$226.34 ,"$366,569.00 ","$2,675.69 ",$220.44 ,"$30,415.89 ",$222.01 ,$0.00 
207258,2019,49,Goodhue,MEDICARE,3,45 - 64 years,M,27,Inpatient Non-acute,"2,925",223,319,"$567,372.41 ","$2,544.27 ",$491.15 ,"$488,945.28 ","$2,192.58 ",$392.01 ,"$78,427.13 ",$351.69 ,$61.48 
208098,2019,53,Hennepin,MEDICARE,5,75 years and older,M,"26,203",Clinic/Office,"903,618","377,686","308,032","$74,967,091.72 ",$198.49 ,$108.41 ,"$63,966,172.45 ",$169.36 ,$87.72 ,"$11,000,919.27 ",$29.13 ,$10.00 
209130,2019,59,Isanti,MEDICARE,2,19 - 44 years,M,84,Hospital Outpatient,"2,467",426,992,"$172,234.68 ",$404.31 ,$134.51 ,"$138,425.82 ",$324.94 ,$103.25 ,"$33,808.86 ",$79.36 ,$23.59 
209826,2019,63,Jackson,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,18,Other,"1,386",964,196,"$63,691.21 ",$66.07 ,$45.53 ,"$63,684.81 ",$66.06 ,$45.53 ,$6.40 ,$0.01 ,$0.00 
210738,2019,69,Kittson,COMMERCIAL,2,19 - 44 years,M,15,Emergency department,42,20,159,"$12,282.01 ",$614.10 ,$468.72 ,"$5,417.52 ",$270.88 ,$61.04 ,"$6,864.49 ",$343.22 ,$217.46 
211698,2019,75,Lake,COMMERCIAL,2,19 - 44 years,F,14,Independent Lab,104,20,157,"$4,065.30 ",$203.27 ,$141.31 ,"$2,877.00 ",$143.85 ,$41.07 ,"$1,188.30 ",$59.42 ,$2.21 
212994,2019,83,Lyon,COMMERCIAL,2,19 - 44 years,F,37,DME (Durable Medical Equipment),96,55,444,"$14,957.35 ",$271.95 ,$198.00 ,"$13,852.33 ",$251.86 ,$198.00 ,"$1,105.02 ",$20.09 ,$0.00 
213978,2019,87,Mahnomen,MEDICARE,4,65 - 74 years,F,159,Clinic/Office,"2,856","1,281","1,886","$146,921.36 ",$114.69 ,$88.86 ,"$116,955.99 ",$91.30 ,$73.36 ,"$29,965.37 ",$23.39 ,$14.83 
215082,2019,95,Mille Lacs,COMMERCIAL,1,18 years and under,F,404,Other,"1,539",805,"4,755","$110,299.63 ",$137.02 ,$85.88 ,"$59,655.09 ",$74.11 ,$35.24 ,"$50,644.54 ",$62.91 ,$25.00 
215898,2019,99,Mower,COMMERCIAL,2,19 - 44 years,M,14,Hospital Inpatient Professional Services,209,88,156,"$96,452.08 ","$1,096.05 ",$521.62 ,"$76,367.23 ",$867.81 ,$395.32 ,"$20,084.85 ",$228.24 ,$0.00 
216858,2019,103,Nicollet,MEDICARE,3,45 - 64 years,F,208,Other,"1,874",833,"2,406","$216,015.73 ",$259.32 ,$69.60 ,"$173,496.80 ",$208.28 ,$55.58 ,"$42,518.93 ",$51.04 ,$10.09 
